candidate_id,skill_name,proficiency,category,years_of_experience
12,having the drive to lead and succeed,,Technical,0.0
12,Ability to manage own projects and portfolio,,Technical,0.0
12,Exposure to PHP development,,Technical,0.0
12,Possessing solid academic understanding of software development principles,,Technical,0.0
12,A strong understanding of professional software development practice,,Technical,0.0
12,Having a logical approach to problem solving,,Technical,0.0
12,Have exposure to requirements definition and concept of workflow / reporting,,Technical,0.0
12,Clear and informative written and verbal communication skills,,Technical,0.0
12,Ability to work quickly and efficiently with little supervision,,Technical,0.0
12,Knowledge of differing methodologies,,Technical,0.0
13,C,,Technical,
13,C#,,Programming Language,
13,HTML,,Technical,
13,Prolog,,Technical,
13,SQL Server 2005,,Database,
13,Oracle,,Technical,
13,Visual Studio 2010,,Technical,
13,Visual Studio 2008,,Technical,
13,Visual Studio 2005,,Technical,
13,Windows XP,,Technical,
13,Windows Vista,,Technical,
13,Windows 7,,Technical,
14,SAP Certified NetWeaver Administration Consultant,,Technical,
14,SAP Certified HANA Administration Consultant,,Technical,
14,SAP ABAP,Trained,Technical,
14,SAP Solution Manager,Trained,Technical,
14,Oracle O.C.P Track Level,Trained,Technical,
14,IBM DB2 Certified Academic Associate,,Technical,
14,System Administration on Linux and Windows,Working Knowledge,Technical,
14,Directory Server,Working Knowledge,Technical,
14,CCNA Level Working knowledge of TCP/IP Suite,Working Knowledge,Technical,
14,OSI Layers,Working Knowledge,Technical,
14,Socket Programming,Working Knowledge,Technical,
14,Visual Studio,Adequate Working Knowledge,Technical,
14,C#.NET,Adequate Working Knowledge,Programming Language,
14,ASP.NET,Adequate Working Knowledge,Web Development,
14,ORACLE,Adequate Working Knowledge,Technical,
14,JAVA,Adequate Working Knowledge,Programming Language,
14,PHP,Adequate Working Knowledge,Technical,
14,SQL Server 2008,Adequate Working Knowledge,Database,
14,.NET 3.5/4.0,Adequate Working Knowledge,Technical,
14,Android,Adequate Working Knowledge,Technical,
14,WP7,Adequate Working Knowledge,Technical,
14,Data Ware Housing,Adequate Working Knowledge,Technical,
14,Data Mining,Adequate Working Knowledge,Technical,
14,OLTP,Adequate Working Knowledge,Technical,
14,OLAP/OLAM,Adequate Working Knowledge,Technical,
14,ETL,Adequate Working Knowledge,Technical,
14,ELT Processes,Adequate Working Knowledge,Technical,
14,Artificial Intelligence and Heuristics,Adequate Working Knowledge,Technical,
14,Frame and Script Programming,Adequate Working Knowledge,Technical,
15,Assembly,,Technical,
15,C#,,Programming Language,
15,MODELSIM,,Technical,
15,ORCAD,,Technical,
15,MULTISIM,,Technical,
15,MIROSOFT OFFICE,,Technical,
15,EXCEL PROGRAMMING,,Office Tools,
16,C,,Technical,
16,C++,,Programming Language,
16,Visual Basic C++,,Programming Language,
16,MATLAB,,Technical,
16,Proteus,,Technical,
16,Electronic Work Bench,,Technical,
16,Emu 8086,,Technical,
16,Microchip,,Technical,
16,Microsoft Office,,Technical,
16,Computer Hardware,,Technical,
16,Computer Software,,Technical,
16,Network Analysis,,Technical,
16,Digital Logic Design,,Technical,
16,Technical Report Writing,,Technical,
17,Mobile Software Development,,Technical,
17,DATABASE management,,Database,
17,Web Development,,Technical,
17,MATLAB,,Technical,
17,Android and Windows Phone 8 Interfaces,,Technical,
18,C,,Technical,
18,C#,,Programming Language,
18,Assembly,,Technical,
18,Visual Basic,,Technical,
18,MATLAB,,Technical,
18,LABVIEW,,Technical,
18,HTML,,Technical,
18,ASP.Net,,Web Development,
18,SQL Server,,Database,
18,MS-office,,Technical,
19,MS Word,,Office Tools,
19,MS Excel,,Office Tools,
19,MS PowerPoint,,Office Tools,
19,Microsoft Office Suite,,Technical,
19,Windows 7&8,,Technical,
19,Windows XP,,Technical,
19,Android,,Technical,
19,Windows Phone 8,,Technical,
19,CCNA 1 – NETWORKING BASICS,,Technical,
19,MATLAB,,Technical,
19,Different type of processors like 8086,,Technical,
19,8052 etc.,,Technical,
20,C-Language,,Technical,
20,Assembly Language,,Technical,
20,Matlab Programing,,Technical,
20,PLC Programing,,Technical,
20,MS – Office,,Technical,
20,Inpage,,Technical,
20,Advance Excel,,Office Tools,
20,Internet Surf,,Technical,
20,Email,,Technical,
21,MATLAB,medium,Technical,
21,ETAP,basic,Technical,
21,Minitab,basic,Technical,
21,CALCULUX /DIALUX,medium,Technical,
21,MS Office,,Technical,
22,Circuit Design,,Technical,
22,Microcontroller Programming,,Technical,
22,Software,,Technical,
22,PLC Programming,,Technical,
22,Power Electronics,,Technical,
22,Embedded Systems,,Technical,
22,Control Systems,,Technical,
23,Computer and math skills,,Technical,
23,Operating Systems,,Technical,
23,Programming Languages,,Technical,
23,Database Knowledge,,Database,
23,Web technology,,Technical,
23,Software,,Technical,
23,English,working knowledge,Technical,
